title,overview,vote_average
No Age New York,"A scattershot documentary about punk rock film makers in New York, with contributions from Lydia Lunch, Henry Rollins, Richard Kern, Beth B, Nick Zedd and many others. A love letter to the New York Underground.",7.0
We Shall Return,"A prominent Cuban landowner flees to Miami with his anti-Castro activist younger son, where he learns that his elder son is working to sabotage the Bay of Pigs invasion.",5.0
Fun Band,"On a fishing trip, Adel takes his three friends, and while fishing they find a heavy bag. The three rush to pick it up, and find a shipment of drugs inside. Three gang members watch the situation from a distance, and when the friends reach the bag, the gang members intervene to seize the bag. At this point, police officer Lotfy appears and tries to arrest them.",0.0
The Fortune Seller,"3 desperate people who wish to improvise their lives visit a fortune teller, not knowing that the future they seek is being set up by a con-artist.",0.0
Playboy: Playmate Playoffs,"This 'educational documentary' features 10 gorgeous playmates competing against each other in various athletic activities, all of which involve either skimpy, very revealing bikinis or wet t-shirts. There's watersliding, pie relays, hose downs, rodeo riding and of course an impromptu mud wrestling display at the end. Chuck Woolery does a decent job of hosting it and it's actually quite entertaining aside from the awesome chicks. I'm surpised they didn't make any more of these. Probably has something to do with the fact that two of the girls get injured during the contests. The gals seem a bit of a throwback to the days of the """"all-natural"""" beauty. And seeing the well endowed Roberta Vasquez bouncing in the relay race is a thing of beauty. If you're into hot 80's chicks, I suggest you check this out.  IMDB lists this as a documentary.",3.0
Nude,"After graduating high school, Hiromi moves from the coastal town of Niigata to Tokyo in the hopes of becoming a famous actress. Her dream seemingly comes true as a manager scouts her off the street. He recruits her as a model but it's actually to be a ""nude"" model. It's not exactly what Hiromi was looking for, but she can't turn down the opportunity. As her career dwindles, the manager coerces her to make the jump to AV and Hiromi gains a new identity as Mihiro.",6.038
Space Warriors,The son of a retired astronaut competes to win a seat on the next space shuttle.,5.2
Courtin' Trouble,Jimmy Wakely a lawman goes undrrcover with a singing job at Dawson's saloon....,0.0
Once Upon a Time… All About My Mother,"Shot in 1999, """"All About My Mother"""" is Pedro Almodóvar's thirteenth feature film. The director was a key figure in the turbulent Movida (the movement for cultural renewal and liberation in post-Franco Spain), explores Barcelona society at the turn of the millennium through the lives of five women.",8.0
"Neger, Neger, Schornsteinfeger","This drama is based on the childhood memories of Hans Jürgen Massaquoi, who was one of the few black native Germans in Nazi Germany. In 1935 at the age of nine, he lives with his German mother in a small flat in Hamburg's working class district Barmbek, while his father and grandfather had left the country. Although the boy is not persecuted by the Nazis and dreams of joining the Hitler Youth, his skin color makes him a target for racist abuse...",6.8
KSW Epic,"KSW Epic: Khalidov vs. Adamek was a combat sports event that took place on Saturday, February 24, 2024 at the PreZero Arena in Gliwice, Poland.",0.0
The Lady Hermit,"A young Kung Fu student seeks a reclusive teacher so that she may learn to defeat the evil Black Demon. She doesn't realize that the servant woman she befriends is actually the kung fu master she seeks. After Black Demons henchmen attack, the master reveals herself and eventually takes on the student to train her so that they may both defeat the villain. A love triangle complicates things when another student asks for training as well.",6.7
Enthralled,"An enthralling directorial debut by the phenomenal, biting columnist and broadcaster Chip Tsao. Three elementary school pals, separated during the post-Tiananmen wave of emigration, reunite after 20 years, only to find themselves in totally different places. When each of them gets involved in an unlikely and at times illicit romance, their disparate lives intertwine and take a dire turn. The simmering ennui of post-handover Hong Kong is insightfully captured in this original and hardhitting drama about love, deceit and betrayal.",4.167
The Greatest Game Ever Played,"A biopic of 20-year-old Francis Ouimet who defeated his golfing idol and 1900 US Open Champion, Harry Vardon.",7.3
The Nobody,"The porter (Arafa) suffers from sexual deprivation. He marries the infamous widow (Warda) but his work efficiency is reduced due to frequent sleep with his wife. Morsi arrives in the town and meets Arafa and his friend, the railway worker, Dasouki, to ask them about the bully Asran. They know that Morsi was commissioned by the wealthy Kilani to hire Asran To kill the contractor Fuad Minawi. Arafa claims that he is Asran and receives 2,000 pounds as a down payment to complete the process. Morsi discovers the trick and a battle between Arafa and Asran breaks out. Asran gets killed, but the medical report confirms that Asran died of a heart attack. Kilani asks Arafa to complete the crime, but Arafa refuses, and one of Kelani's agents kills Dasouki and fails to kill Arafa. Arafa decides to take revenge for killing Desouki.",6.8
Replicant,"Scientists create a genetic clone of a serial killer in order to help catch the killer, teaming up with two cops.",5.8
The Garden of Sinners: The Hollow Shrine,"June 1998: After spending two years in a coma caused by a traffic accident, Shiki Ryougi awakens with amnesia. She is visited by Touko Aozaki, a wizard and proprietor of a studio called Garan no Dou. Shiki has lost not only the memory of her accident, but also any real sense that she's even alive. Strangely, enigmatic beings begin to attack her...",6.9
Mother of a Different Kind,"Referred to as Hong Kong's answer to ""Misery"", innocent-looking Bo-Bo Fung is an overprotective mother/nurse who is bent on revenge at all costs after the death of her son at the hands of policeman Lau Ching-Wan. Veronica Yip stars as a gambling addict who enlists Lau to protect her from loan sharks, and eventually returns the favor in order for him to survive Nurse Lam's relentless assault.",8.0
Aerosol,"Tren (20), his girlfriend Drama (18) and their friends Trucas (19), Mico (16) and Weed (17), are youths who live on the outskirts of Mexico City. Through graffiti art, dancing, music and song, they have a good time imitating their idols in music, dance and television, dreaming of someday being great figures in show business. They gather at the F.B.I., which holds dance and graffiti contests, and which is also frequented by el Loco (28) and his gang of small time drug dealers in the barrio. At the same time, Tren’s brother Nuk (43) returns home after 23 years. Nuk finds the environment changed, with all the evils of society, only now they are stronger than when he left.",5.0
Mildred Pierce,A hard-working mother inches towards disaster as she divorces her husband and starts a successful restaurant business to support her spoiled daughter.,7.6
Rumba Royale,Rumba Royale is an historical thriller set in the Democratic Republic of Congo.,7.0
French Viplavam,"On 1st April 1996, the Kerala government had taken an initiative to prohibit arrack shops, which had led many alcoholics in awful situations. What follows, is how they prevailed over this change.",0.0
Rich in Love,"Working incognito at his rich dad's company to test his own merits, Teto falls for Paula and tells her he grew up poor, a lie that spins out of control.",7.7
The Wizard,"Igami would have wanted to be a manga artist, but he become an exorcist. And in this, he excels. When a yakuza boss asks for his help in dealing with a grave curse, he realizes that a supernatural insect master is active behind the scenes. Furthermore, a great master of the supernatural is putting Tokyo in danger. Igami decides to delve into his arsenal of tricks and spells to thwart these plans.",0.0
Lucky 13,A man revisits the previous significant girlfriends in his life in order to win over the girl of his dreams.,4.6
Staying Alive,It's five years later and Tony Manero's Saturday Night Fever is still burning. Now he's strutting toward his biggest challenger yet - making it as a dancer on the Broadway stage.,5.8
Kaada/Patton Live,"Kaada/Patton Live is a DVD of the collaboration between Mike Patton and John Kaada that was released on November 20, 2007. The DVD features a live performance of the music from the album Romances from Roskilde Festival 2005 (July 3rd). The entire concert is in black &amp; white.",5.0
Zero,"Zero is a police officer in his mid thirties, pacing the streets of Casablanca, surrounded by loss and futility, and the corruption of everyone around him.",7.3
Better Off Dead...,"High school student Lane Meyer sinks into suicidal depression when his girlfriend dumps him for jock Roy Stalin, the high school ski racing champion. Meanwhile, he has to deal with his eccentric family, a tenacious paperboy and an obnoxious neighbor whose mother is hosting a beautiful French exchange student named Monique.",6.6
Saxophone Colossus,"Tenor saxophone master Sonny Rollins has long been hailed as one of the most important artists in jazz history, and still, today, he is viewed as the greatest living jazz improviser. In 1986, filmmaker Robert Mugge produced Saxophone Colossus, a feature-length portrait of Rollins, named after one of his most celebrated albums.",8.0
Riders of the Rio Grande,A banker struggles to keep his bank solvent and his town from going bankrupt after the bank is robbed and all its money taken. The Three Mesquiteers ride into town and set out to help.,0.0
Adan,A naive provincial girl finds a way to get ahold of her independence through the help of her girl best friend. But their actions have nerve-shattering consequences.,5.6
Gate of Youth,"The story of Shinsuke, a young man who lives through a stormy life as a poverty-stricken coal miner. Ranging from Shinsuke's infanthood to his mid-teens. Coal workers and the mines dominate nearly every aspect of his life. Shinsuke's father a group leader at the mine, dies while bravely using dynamite to rescue a group of trapped Korean miners. Several older men attempt to help he and his mother cope, including a friendly Harley-riding yakuza boss. This movie has it all, drama, romance, sex, yakuza and violence! It is based on a story by Hiroyuki Itsuki that was originally serialized in the magazine Shukan Gendai in 1969-70.",7.3
Cesium-137,"In 1987, in Goiânia, two paper collectors find a radioactive capsule and sell it to the owner of a junkyard. Once the capsule is opened, more than 250 people end up contaminated by the substance called Cesium 137, being the biggest radiological accident in the history of Brazil.",4.8
The 39 Steps,"Richard Hanney has a rude awakening when a glamorous female spy falls into his bed - with a knife in her back. Having a bit of trouble explaining it all to Scotland Yard, he heads for the hills of Scotland to try to clear his name by locating the spy ring known as The 39 Steps.",7.327
Lovely Louise,"André, 55, lives with his mother Louise, 80, and leads an unspectacular life. He works as a taxi driver while the elderly diva dreams of bygone days as an actress in Hollywood. One day the charismatic Bill, 50, an American, turns up on their doorstep - a stranger who will soon turn their quiet life upside down.",5.4
Princess from the Moon,"Two poor, married farmers have recently lost their only child; after a freak visitation, they pry open an alien cocoon to greet their new daughter.",6.365
Make Way for the Jaguars,"A plot by an evil mastermind to eliminate the lead singer of the Japanese ""Group Sounds"" rock band, The Jaguars, leads the group through a series of psychedelic, comedic escapades.",7.5
Ne bougez plus !,"Are these two tramps who come to pose for an advertising agency at Patrice Farfadou, the fashionable photographer, the  Prince Andromache of Miremir and his faithful secretary Palmer? Who will find the key to the Enigma: The melancholic Hector, the youthful Geneviève, or the feverish Elyane?",0.0
The One 3,10 minute fantasy / horror short.,0.0
Observation Man,"Newly married couple Eun-mi and Seong-soo look ordinary, but they both have their own secrets. Eun-mi enjoys calling her boyfriend to her home while her husband is away on work and Sung-soo enjoys watching his wife have sex with other men through the CCTV in his house. Not being able to get over the excitement he feels by doing that, he tells his wife everything and suggests she has sex with another man again...",6.3
Good People,"Overwhelmed by guilt after an intense affair, Emma returns home to her family hoping to reconnect with her husband.",4.8
Abby,"Following an exchange of text messages with her mother about her newly adopted dog Abby, a young woman sees her experience as a transracial adoptee reflected in this adoption.",0.0
Kanden Kadhal Konden,"The film is a love story where the lead pair travel from Chennai to Kodaikanal to get married. There, the marriage registrar says that they need to wait for 14 days to register their marriage. What happens in those 14 days forms the rest of the story.",0.0
A Movie Is Made For Pooh,"Behind the scenes documentary short for the movie ""Christopher Robin"".",6.0
Sa Tanang Higayon,"Set in the 90's, the narrative film revolves around the journey of a lesbian couple and how the concept of time has been seen as a friend but also a foe.",0.0
Super-Hooper-Dyne Lizzies,"An eccentric inventor has thought of a way that automobiles can run on radio waves, without gasoline. His plans put him in conflict with the owner of an oil company, who is also pursuing the inventor's daughter. This rival begins to scheme against the inventor, and it is left up to the inventor's hired man to try to stop him.",0.0
Grind,"A group of college students host a midnight grindhouse film festival. They discover a cursed arthouse horror called The Creeping Chaos. In classic horror fashion, they screen the film, unleashing absolute mayhem.",0.0
With a Vengeance,"A woman frightened by her nightmares hires a private investigator to look into her past, only to find her fears are becoming reality.",6.5
The Lucky Lady,"Convent-bred to assume her position of nobility when the time comes, Princess Antoinette plays hooky from school one day to attend a theatrical performance. Here she meets a handsome young American, and it's love at first sight. Meanwhile, in the Princess' home country, the Prime Minister plots to quell a rebellion by arranging a marriage between Antoinette and the Grand Duke.",5.5
Operation LARP,"After colliding with a flock of ducks, the military loses its missile in a dense forest.",0.0
Dream,"A young Buddhist monk, Jo Sin, is attracted to Tae-su's daughter, Dal-lye. He hopes to marry her, but she becomes Mo-rye Hwa-rang's wife. One day she secretly leaves the temple and runs away with Jo Sin. Hwa-rang finds out about it and is ready to take revenge on him. Jo Sin shouts out loud and realizes that he had just had a dream.",6.0
Holly Hobbie and Friends: Best Friends Forever,Holly and the Hey Girls learn that you never know who might make the perfect friend when they meet the town witch and find out she's really a wonderful old lady who can use a little of their help.,10.0
The Other Side of the River,"Mrugtrushna is about four kids living on the banks of a river in 1980s Gujarat, and their desire to explore the other side of the river, leading them on a journey of imagination and wonder that they would cherish and remember forever.",0.0
Eagle,A Brooklyn teen gets a warning on the most important day of his life. It may be too late...,0.0
The World of Drunken Master,"Chan Hui Lau stars in this vintage martial arts film as Chang, the owner of a winery and master of Drunken Boxing, a deadly kung fu technique that, as the name implies, requires its practitioner to be drunk. His relatively peaceful life is interrupted when he catches two boys (Li Yi Min and Jack Long) stealing grapes from his vineyards and puts them to work for him. Over time, he teaches them the art of Drunken Boxing. When the two boys get into a fight with some local toughs, they provoke the wrath of Yeh Hu (Lung Fei), Chang's enemy.",5.1
Uwakoi,"When he was a kid, Yukiteru (Tomoyuki Ishida) lit candles and stared at the candlelights, but the candles fell down. A fire broke out and the whole house burned into ashes. Since that time, he has lived at the home of childhood friend Yuno (Yurina Yanagi).  Yukiteru and Yuno are a couple known to everybody. Rena (Nami Motoyama) is a new transfer student in Yuno's class. She becomes interested in Yukiteru. One day, Yukiteru and Rena have an intimate encounter. This changes Yukiteru.",0.0
The Bad Sleep Well,"In this loose adaptation of ""Hamlet,"" illegitimate son Kôichi Nishi climbs to a high position within a Japanese corporation and marries the crippled daughter of company vice president Iwabuchi. At the reception, the wedding cake is a replica of their corporate headquarters, but an aspect of the design reminds the party of the hushed-up death of Nishi's father. It is then that Nishi unleashes his plan to avenge his father's death.",7.7
Hijra in Between,"After facing an irresistible change, what is she? Still him?  Two women with different personalities have unexpectedly become the best sisters - He Xizhen, Liu Wanting, who like the above students at the same time, but in fact Wen Haosheng has long noticed Liu Wanting, in the hope of his friend, Yu Ting When the twins entered the relationship, the three also formed an intimate triangular relationship until an accident caused Wan Ting to discover that she had a double sexuality, and at this moment she must choose to live as one of the genders.  Wan Ting unexpectedly refused to let the twins and Xi Zhen get caught off guard. After many years, Xi Zhen and the twins appeared a pure-looking boy, Liu Ting.",7.2
Love Hotel - Full Service,"A very hot young man is discovered by his father in very compromising circumstances with the servant and decides send him to spend a vacation with his mother. The boy, against his will, obeys and stays at the hotel that runs his progenitor and that is really a brothel. The son starts there a true love marathon because it is so well endowed sexually that it is a phenomenon. The usual hotel guests fall as you show before their rare and unstoppable abilities. His performances will be prodigious.",4.1
The Moment After 2: The Awakening,"In The New World Order, who can you trust? The government? Ragtag militia? Religious ""fanatics""? After a dramatic escape from death row, former FBI agent Adam Riley reunites with his friend and mentor Jacob Krause leader of The Way, and his small remnant of Christians. Little do they know the forces out for their destruction.  Global Alliance leader Commander Fredericks has forced Adam's former partner Charles Baker to hunt them down while a ragtag militia, led by ""Captain"" Jackson, spy on them for their own gain. As events lead to an explosive confrontation, all will be forced to an awakening of the real struggle... for their very souls.",5.0
In A Nutshell,"A miniature artist is commissioned to re create a gruesome crime scene for the local police department, unknowingly opening the doors for an evil entity.",6.0
Babes,"After getting pregnant from a one-night stand, a single woman leans on her married best friend and mother of two to guide her through gestation and beyond.",5.89
The Man Who Wanted to Live Forever,A famous heart surgeon finds out that a medical research foundation is being used for shady and illegal purposes.,5.0
Straight A's,"Pressured by his late mother's ghost to return home to the family he abandoned, a former addict grabs a bag of pills and a sack of marijuana and hits the road to Shreveport.",5.2
Chinese Fighting Man,"The story is about a delivery man Li An Quan struggling to live in Beijing meanwhile his daughter is ill and needs 20 million for surgical fees.  Li works hard to earn money, but accidents occurre one after another.",6.0
Do You Know Sunday-Monday?,"Juli is a 17-year-old student who takes a summer job in a local chemical factory. She is befriended by Piri, a girl with an unsavory reputation who has worked there before. The two friends are ogled by male workers who have overactive libidos and imaginations. Juli spurns the advances of a deluded Romeo while Piri continues to work and endure open hostility  from the older female workers while her slothful parents sink deeper into alcoholism.",4.4
China Strike Force,"A young Chinese Security Officer, Darren, is called for Team 808, which fights against the smuggling of drugs and corruption. Noriko, a Japanese Interpol officer, collaborates with Darren for the destruction of a large international drug cartel. At the same time, a senior government officer's daughter is suspected of corruption.",5.4
The Keeper of the Bees,"A severely traumatized World War I veteran, believing that he's living on borrowed time, comes upon a peaceful little village and meets an old man called Bee Master and his protégé, Little Scout, who try to convince him that he has more to live for than he thinks he does.",5.9
Lying and Stealing,"Hoping to leave his criminal lifestyle behind him, a successful art thief teams up with a sexy con woman to pull off the ultimate heist and set himself free.",5.853
The Pagan Madonna,"The unique statue of the ancient fertility goddess Demeter, known as the ""Pagan Madonna"" is stolen from the museum, located in a small town on Lake Balaton. At the same time seriously wounded a servant of the museum. The abduction of the museum's priceless statues of pure gold is investigated by the then young and inexperienced investigator Kardos and lieutenant ""Droplet"".",7.1
Inheritance to Love,An ex-couple are both set to inherit a lot of money if they can spend the week together in a remote cabin getaway.,0.0
Pon Manickavel,A cop tasked with investigating the murder of a judge finds out that a businessman might be the key to cracking the case.,4.0
Behind the Bull,"When Forgotten Silver — the story of pioneer filmmaker Colin McKenzie — unspooled on 29th October 1995, in a Sunday TV slot normally reserved for drama, many believed the fable was fact. Controversy ensued as a public reacted (indignant, thrilled) to having the wool pulled over their eyes. Costa Botes, who originated the mockumentary, later made this doco, looking at the construction of McKenzie's epic, tragic, yet increasingly ridiculous story. He interviews co-conspirator Peter Jackson and other pranksters, and they muse on the film's priceless impact.",0.0
Hal,"Hal Ashby's obsessive genius led to an unprecedented string of Oscar®-winning classics, including Harold and Maude, Shampoo and Being There. But as contemporaries Coppola, Scorsese and Spielberg rose to blockbuster stardom in the 1980s, Ashby's uncompromising nature played out as a cautionary tale of art versus commerce.",6.5
Say a Little Prayer,"Three best friends recite an ancient prayer to the patron saint of “all things lost” to find their true loves, unleashing an unexpected turn of events that will put their friendship to the test.",0.0
Never Forget: WWE Returns After 9/11,"In the aftermath of Sept. 11, 2001, as terror and tragedy dominated the media landscape, WWE provided a beacon of hope with a live edition of SmackDown. This documentary explores the preparation of the historic event that brought unity to a country when it was needed most.",2.2
Olivia Rodrigo: GUTS World Tour,"At a sold-out concert in her hometown of LA, Olivia Rodrigo pours her heart into an electrifying night of chart-topping hits and pop-rock power ballads.",7.6
Below the Lion Rock: New Life,"After being released from prison, repeat offender Lam Sai-Song received neither compassion from his family nor acceptance by friends and relatives. Nevertheless he refused to give up on himself...",0.0
Wonder Woman,"On the mystical island of Themyscira, a proud and fierce warrior race of Amazons have raised a daughter of untold beauty, grace and strength: Princess Diana. When an Army fighter pilot, Steve Trevor, crash-lands on the island, the rebellious and headstrong Diana defies Amazonian law by accompanying Trevor back to civilization.",7.2
After Eden,A tale of love and temptation in the age of Internet pornography.,4.8
The Dark Redemption,"Set two days before the events of Episode IV, Jedi Mara Jade has received a copy of the Death Star plans, which she must somehow get to the rebel forces. Unfortunately, she is being held prisoner by the Empire, and only two rebel soldiers, Zev and Klaus, can save her. As if breaking into an Imperial prison and getting the plans wasn't hard enough, bounty hunter Boba Fett is also in the neighborhood to complicate matters.",8.0
Zwei Kumpel in Tirol,"Willy and Jonny drive the time to make the ladies’ world happy in the village of Bumskirchen. Local men have little understanding of these activities, so they are forced to take a break. They go to the city, where they continue to devote themselves to their favorite job: Jonny becomes the target object of starving ladies",3.3
The Shadow of Hate: A History of Intolerance in America,"The film expresses the history of oppression, discrimination, violence and hate in America.  It was nominated for an Academy Award for Best Documentary Short.",6.3
Time to Hunt,"Four young men want to leave their dystopian world behind and go to a distant paradise to execute a money robbery, a daring act that will have unexpected consequences.",7.158
Zankoku! Shōjo tarento,After appearing on a TV program a young woman is recruited to be an advertising idol much to the dismay of her boyfriend.,2.0
Good Burger,Two L.A. teens with summer jobs at Good Burger try to save their small restaurant when a corporate giant burger franchise moves in across the street.,6.186
Of Minor Prophets,"In the rural Midwest, a lonely, bachelor farmer befriends a sex worker whose intentions aren't what they appear. Desire, deceit and doubt combine to create an explosive mix that forces both sides to discover just how far they're willing to go to get what they want.",1.0
Coronado,"Southern California's Hotel Coronado caters to and is frequented by members of the social upper-crust. Although she lives on the wrong side of the San Diego track, in a tent-city with her father. Otto, and ditzy sister, Violet, June Wray is a singer with the Eddy Duchin Orchestra appearing to the hotel. Johnny Marvin, an aspiring songwriter and the son of a wealthy automobile manufacturer, is staying at the hotel and, from they moment June and Johnny meet, they fall instantly in love. Trouble arises when Johnny's father objects to the romance, and complications and help arrive in the form of two Marine-hating sailors,Chuck Hornbostel and ""Pinky"" Falls, when Chuck marries June's ditzy sister.",3.0
Bedlam,"A psychiatrist makes rounds in ERs, jails, and homeless camps to tell the intimate stories behind one of the greatest social crises of our time. A personal and intense journey into the world of the seriously mentally ill.",7.5
Twas the Night,"A newly engaged couple tries to impress their soon-to-be in-laws with a lovely Christmas Eve dinner, but finds it a difficult task to complete while hiding a body in their house.",3.0
The Multi-Coloured Little Circus,A boy is locked into the Bastille metro station and discovers a clown. They both escape from the station and find themselves center stage at the circus.,7.0
Gefühle im Sturm,"Stefanie von Nauenstedt begins a passionate affair with David, her brother-in-law, and realizes only too late how much her husband André and her son mean to her.",4.0
Electronic Control System of the C-1 Auto Pilot Part 1: Basic Electricity as Applied to Electronic Control System,Animated training film depicting the fundamentals of electricity and how electrical signals can be used to keep an airplane on correct course and altitude through an autopilot.,0.0
Lo veo y no lo creo,Blind man with no family relies on his mayor-domo for everything from domestic chores to administrating his estate. Surprise: the mayor domo is blind too. Somehow it all works out.,4.4
Cuál Justicia?,A law student mother races against time to find her recently missing daughter,0.0
Ya viene el cortejo…,Women from the different Spanish regions dress in their traditional costumes to attend the triumphal parade celebrating the victory of Francisco Franco and the rebel side over the Second Republic in 1939; the deeds of past heroes are remembered; and a patriotic poem by Nicaraguan poet Rubén Darío is recited.,0.75
The Boys in the Band,"Mod, a gay who is suffering from alcoholism throws party for his best friend Tery. Mod invites all his friends like Nat, Daeng and Em. At the same time, Un, the straight man,  is having problem with his wife, so he comes to Bangkok to meet Mod who is his old friend. The arrival of Un at the party turns that evening upside down.",0.0
Bad Boys Ball,"This spectacular presentation of the legendary British live sex show (The Bad Boys Ball) features legendary American superstar Kris Lord, the ever-popular muscle-God Tom Katt, Falcon fave Jeff Hammond, and bodybuilder Rev Sutton strutting their stuff live onstage at London’s Love Muscle gay nightclub. Bad Boy's Ball mixes the live show with rare, behind the scenes interviews that create a revealing expose of these gorgeous talents. The highlight of the show is the unprecedented Kris Lord, whose fantasy finale is set in a Roman Orgy, featuring stunning toga clad gods!",7.0
Crossing Trails,"Helen, wrongly suspected of murder, escapes to the refuge of Jim's Ranch, where love soon blooms.",0.0
Occidente y sabotaje,Two Communist agents plot an attack on a dam in Spain.,0.0
Heaven,"Having trouble returning to his pre-prison sexual orientation, an ex-con orders an aging call girl whose life depends on him wanting her.",1.0
One's Family Gravesite,"Natasha, originally from Uzbekistan, gets citizenship in Korea. She wishes to buy a family graveyard as Koreans do. At the last minute, she finds a miraculously low-priced land put by some old lady, but the lady declines to sell her property to Natasha because she is a foreigner. Natasha decides to meet this lady...",0.0
Death Run to Istanbul,"Gary is a drugged out former kickboxer who owes gangsters $15,000. Alonso, the young mob chief, forgives the debt if Gary is willing to transport a briefcase full of drugs to Istanbul. He loses the case, the criminals come after him, and his former girlfriend, Sam, must now come to his rescue.",1.0
The Parliamentarian Lady,"Rena Varlamou (Rena Vlahopoulou), a female queen and a captain, takes up the election campaign of her fiancé Pericles Arapis (Stavros Xenides), a tavern who has founded a party and wants to become a member. He tries to land him in reality, but he does not, and when Pericles is not elected, he takes off. The reason is the sudden death of the uncle of Iakovos Menexes, a political career, who had re-elected a Member on their island. Menexes had included it on his ballot, as a runner-up, and Rena took his place, becoming the first female MP and struggling to make some important works in her place.",6.3
Samurai Detective Onihei: One Last Wish,"Master thief Kinosuke arrives in Edo to pull off one final heist for a tea-server who resembles his long-lost love, while Hasegawa Heizo’s spy Kumehachi tries to stop him, only to be exposed and trapped alongside the thief by Kinosuke's own crew.",9.333
Cinderella Game,"Sana Haitani (Kasumi Yamaya) is a member of an idol group. She's following the dreams of her now deceased older sister who always wanted to become a top idol. Unfortunately, Sana's idol group is disbanded. She is then kidnapped and taken to an uninhabited island. What awaits for her is a card battle. If she wins in the card battle against other kidnapped idol girls, she can become a top idol. But, if Sana loses ... she will die.",5.6
Psycho II,"Norman Bates is declared sane and released from the facility in which he was being held, despite the complaints of Lila Loomis, sister of his most famous victim. Is he really cured, or will he kill again?",6.5
"Hey, Hey, It's the Monkees","Hey, Hey, It's the Monkees is a one-hour comedy special televised on the ABC Network on Monday February 17, 1997. The show features all four of the original Monkees and would be the last time Micky Dolenz, Davy Jones, Michael Nesmith, and Peter Tork would appear together. Michael Nesmith wrote and directed the program.",5.5
Marie's Song,"Marie is an adolescent woman who lives in Prussia in 1813 with her mother, a countess. They live in a palace watching the path of history from a far point of view.",4.5
Nameless Gangster,A corrupt customs official joins forces with a vicious gangster to form the most powerful crime partnership in Busan.,6.914
Raw Iron: The Making of 'Pumping Iron',"A documentary on the making of ""Pumping Iron"" to celebrate its 25th anniversary. Aired on Cinemax.",7.0
The Cabinet of Dr. Caligari,"Francis, a young man, recalls in his memory the horrible experiences he and his fiancée Jane recently went through. Francis and his friend Alan visit The Cabinet of Dr. Caligari, an exhibit where the mysterious doctor shows the somnambulist Cesare, and awakens him for some moments from his death-like sleep.",7.9
Snake & Mongoose,"The untold story of how two Southern California drag racers, Don ""The Snake"" Prudhomme and Tom ""The Mongoose"" McEwen, combined with corporate giants to change the face of sports and ultimately became the most famous rivalry in racing history.",5.1
The Sceptre and the Mace,"During the 1957 opening of Canada's twenty-third Parliament by Queen Elizabeth II, cameras record the ceremonies in the House of Commons and the Senate. They also bring to the screen many informal glimpses of the Queen and Prince Philip in residence at Government House.",0.0
Dear Jassi,"In 1996 Punjab, India, Canadian-born Jassi falls in love with Mithu, a rickshaw driver beneath her social status. Their attraction is pure and unconditional, but is it strong enough to fight the dictates imposed by Jassi’s family and Punjabi society?",6.0
The Dagger of Kamui,"A young boy named Jiro finds his mother and sister murdered in his home. Falsely accused of the crime, he flees from his village and meets a priest named Tenkai, who has him kill a rogue ninja named Tarouza. After fulfilling that task, Jiro undergoes training to become a master assassin. Many years later, Jiro finds out that he was an orphan and his real father was Tarouza, who had worked for Tenkai until he aborted his mission when he fell in love with an Ainu woman. The young ninja discovers that the Shogunate was to retrieve the lost treasure of Captain Kidd and use it to once again isolate Japan from the rest of the world. Using the clues that Tarouza had kept secret, Jiro - along with the female ninja Oyuki and a slave named Sam - travels to Russia and America to search for the treasure in hopes of using it to extract revenge from Tenkai.",5.8
Baaghi 3,A man embarks on a bloody rampage to save his kidnapped brother.,6.3
NJPW Dominion 6.9 in Osaka-jo Hall,"Dominion 6.9 in Osaka-jo Hall was a professional wrestling event promoted by New Japan Pro-Wrestling that took place on June 9, 2018, at Osaka-jo Hall in Osaka and was headlined by a Best Two-Out-of-Three Falls Match between Kazuchika Okada (c) and Kenny Omega for the IWGP Heavyweight Title.",8.5
Jade Stalk,"This film is the sequel to ""Jade Futon 4: Yunyu Villa""! Wei Yangsheng left the vicinity of Maoxi County and stayed in the mountain temple. At this time, there was a sudden noise outside the temple. Originally, Yunyu Villa was chasing a flower thief. Under a misunderstanding, Wei Yangsheng was punched and kicked. The owner of the village, Nangong, appreciates Wei Yangsheng's extraordinary talent, and spares him from dying, only to be imprisoned in a secret room instead. Wei Yangsheng was shocked, because the owner of the village was originally a daughter, her identity was hidden by her parents since she was a child, and she showed people in men's clothes all day long. It is the flower thief. The owner of the village was very interested in Wei Yangsheng, so he used his maid to test Mo Yangsheng. On the one hand, Wei Yangsheng is very happy because of the boundless beauty, but at the same time, he is worried about the conspiracy of the village owner...",4.0
Dimension 20: Misfits and Magic Holiday Special,GM Aabria Iyengar returns with the four magical misfits stuck at wizarding school over winter break.,0.0
The Late Mathias Pascal,"Mathias Pascal, only son of a once-rich family, marries beautiful Romalinda, who has a terrible mother-in-law. She controls her daughter, and soon his home life becomes a nightmare. His only moments of lights are his mother and baby, but both die on the same day. Shocked, he leaves his hometown and goes to Monte Carlo, where he wins a fortune at the casino. Returning home, he reads his own obituary in a paper. They have found a corpse in a creek and connected it with his disappearance. Mathias, noticing that he is now free from all ties to his old life, decides to start a new one.",7.0
APPyness,A troubled young woman tests out a new app that lets her control when and how she feels emotions. (DUST),8.0
